Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Kawasaki Ninja ZX-6R
              ","
$ 5 500
                                                             
                                                                                   483 560 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/c/2/9c2e25127149682b5d23687272231fe7_240x180.jpg,        мотоцикл                    
"
        Honda CRF
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/c/fbcec046cbb495e0d99a2d68032dbf78_240x180.jpg,        мотоцикл                    
"
        ИЖ Юпитер
              ","
$ 455
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/4/d/b4d2f8bd4a09d14ccd5a29ea377cc7e9_240x180.jpg,        мотоцикл                    
"
        Honda CB 600
              ","
$ 6 200
                                                             
                                                                                   545 104 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/8/d/88d4a98eae63c4446e918607f0b8dd17_240x180.jpg,        мотоцикл                    
"
        Honda 150
              ","
$ 398
                                                             
                                                                                   35 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/f/0/0f0ae48001e3933810a832259e9ae546_240x180.jpg,        скутер                    
"
        Урал 8103-1
              ","
$ 1 251
                                                             
                                                                                   110 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/5/a/25a9e9174b5180546d8e6234ee7231e5_240x180.jpg,        мотоцикл                    
"
        BRP Spyder
              ","
$ 10 000
                                                             
                                                                                   879 200 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/b/0/ab0c4706083ce60dd257c6e7b9c182da_240x180.jpg,        мотоцикл                    
"
        Swift Lucky Strike Soft Tail
              ","
$ 3 000
                                                             
                                                                                   263 760 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/e/b/0eb142303167cab996266481b8a1660e_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 245
                                                             
                                                                                   21 500 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/a/a/eaaeac32473c7c365d932cf1b482a06a_240x180.jpg,        скутер                    
"
        Daelim Citi Ace 110
              ","
$ 796
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/f/5/6f5ba91bee0b4c52f03952719cdc3914_240x180.jpg,        скутер                    
"
        Electric Motorsport GPR-S
              ","
$ 899
                                                             
                                                                                   79 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/e/9/4e93f2d11c2d1c0d08f47c66d45f13f6_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 600 R
              ","
$ 5 500
                                                             
                                                                                   483 560 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/4/4/1441a99774562f72a9c687f196535384_240x180.jpg,        мотоцикл                    
"
        Triumph Tiger
              ","
$ 11 800
                                                             
                                                                                   1 037 456 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/7/7/877056d746274d8d16452661cca8f1c9_240x180.jpg,        мотоцикл                    
"
        BMW F 850 GS
              ","
$ 15 500
                                                             
                                                                                   1 362 760 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/e/9/5e907fdad1d81ebb42548cca76907906_240x180.jpg,        мотоцикл                    
